text,language
ಕಾನ್ಸ್ ಚಲನಚಿತ್ರೋತ್ಸವದಲ್ಲಿ ಬಾಲಿವುಡ್ ಬೆಡಗಿಯರು,Kannada
    అతన్ని నమ్మించాలి కళ్యాణ్! మనం ఎంత చెప్పినా అతను వినడేమో! బుధవారం అతనికి మ్రుడులతావు నిశ్చతార్డం...,Telgu
இந்தியா,Tamil
ನವರಸ ನಾಯಕ ಜಗ್ಗೇಶ್​ ಈಗ 'ಕಾಳಿದಾಸ ಕನ್ನಡದ ಮೇಷ್ಟ್ರು',Kannada
    బహుశా ఒక్కగానొక్క కూతురు విషయంలో అతడు తీసుకున్న రిస్క్ ని ఇంకా జీర్ణించుకోలేకపోతూందేమో అసహనంగా...,Telgu
மேயாதமான் இசையமைப்பாளர்களுக்கு மிகப்பெரிய வாழ்த்து: தனுஷ் ட்வீட்,Tamil
ಮಾರುಕಟ್ಟೆಗೆ ಅಪ್ಪಳಿಸಲಿದೆ ಮರ್ಸಿಡಸ್ ಎಸ್ ಶ್ರೇಣಿಯ ಹೊಸ ಕಾರ್,Kannada
    శక్తి చెప్పింది వింటూ ఆమె అప్రతిభురాలే అయిపోయింది.     ఆమె కళ్ళలో తన సమస్యకు గొప్ప పరిష్కారం ద...,Telgu
சினிமா,Tamil
ಟೋಪಿ ಹಾಕಿದ ನಿರ್ಮಾಪಕ ಆನಂದ್​ ಅಪ್ಪುಗೊಳ ವಿರುದ್ಧ ಜನರ ಆಕ್ರೋಶ,Kannada
"      ""పొలం దగ్గర కాపలా నువ్వొక్కడివేనా? నీకు ఎవరైనా తోడున్నారా?"" అని అడిగాడు శేఖరాన్ని      వెం...",Telgu
அடுத்த  ஆண்டுக்கு பாஜக ஆட்சி  அமித் ஷா,Tamil
ಅಭಿಷೇಕ್ ಜತೆ ದರ್ಶನ್​ ತೆರೆ ಹಂಚಿಕೊಂಡಿರುವ 'ಅಮರ್​' ಸಿನಿಮಾದ ಟ್ರೈಲರ್​ ಬಿಡುಗಡೆಗೆ ಕ್ಷಣ ಗಣನೆ ಆರಂಭ,Kannada
                                                              మగధ దేశాన్ని మాధవవర్మ అనే మహారాజు పర...,Telgu
இந்தியா,Tamil
ಐಪಿಎಲ್ ಡೆಲ್ಲಿ ಡೇರ್ ಡೆವಿಲ್ಸ್ vs ಹೈದರಾಬಾದ್ ಧವನ್-ವಿಲಿಯಮ್ಸನ್ ಬೊಂಬಾಟ್ ಆಟ ಹೈದರಾಬಾದ್​ಗೆ ವಿಕೆಟ್ಸ್​ಗಳ ಭರ್ಜರಿ ಜಯ,Kannada
    'ఏడాదిపాటు రాకపోవటం ఏమిటో..... వీళ్ళకు అందుకే పిల్లలు పుట్టటం లేదు' మనసులోనే అనుకున్నాడు మధు. ...,Telgu
தொடரும் பஸ் கட்டண உயர்வு: தினசரி மாதாந்திர பாஸ்ம் காலி!,Tamil
ನಟ ಶಿವರಾಜ್​ ಕುಮಾರ್ ಅನಾರೋಗ್ಯ ಹಿನ್ನಲೆ ಆಸ್ಪತ್ರೆಗೆ ದೌಡಾಯಿಸಿದ ಪುನೀತ್ ರಾಜ್ ಕುಮಾರ್,Kannada
    భర్త మరొక యువతితో కాపురం పెట్టాడని అమర్ నాథ్ భార్యకు తెలిసింది. తెలియగానే ఒంటిమీద కిరోసిన్ పోసుక...,Telgu
தமிழ்நாடு,Tamil
ಮತ್ತೆ ಆಸ್ಪತ್ರೆ ಸೇರಿದ ಬಾಲಿವುಡ್ ಹಿರಿಯ ನಟ ದಿಲೀಪ್ ಕುಮಾರ್,Kannada
    జూలై ఆరో తారీఖు ఆదివారం రాత్రి ఒక స్పెషల్ ప్రోగ్రాముని రేడియోవాళ్ళు ప్రసారం చేస్తున్నారు. జనంల...,Telgu
செம்மரம் வெட்டச் சென்றதாக திருப்பதியில் தமிழர்கள் கைது,Tamil
ಕೊಲಂಬೋದ ಮೊದಲ ಪಂದ್ಯ ಭಾರತ ವಿರುದ್ಧ ಶ್ರೀಲಂಕಾಗೆ  ವಿಕೆಟ್​ಗಳ ಜಯ,Kannada
"    ""ఏందయ్యా మాట్టాడవు. అంతేనా?""         ""అసలు సంగతి అదికాదే! ఆడదాని నోట్లో నువ్వుగింజ నానదని నీకు...",Telgu
தமிழ்நாடு,Tamil
'ಸೊಂಟದ ವಿಷ್ಯ ಬೇಡವೋ ಶಿಷ್ಯ...' ಎನ್ನುತ್ತಿದ್ದ ಸುದೀಪ್​ ಈಗ ಟ್ವಿಟರ್​ನಲ್ಲಿ ನಡುವಿನ ಬಗ್ಗೆ ಬರೆದದ್ದೇನು ಗೊತ್ತಾ..!,Kannada
"    ""నేను చేస్తున్న సంఘసేవ ఇవాళ సార్ధకమైందనుకొంటున్నాను సుందరయ్యా!"" కొంచెం ఉద్వేగంతో అంది సువర్చల. ...",Telgu
ஒரே நேரத்தில் மக்களவை பேரவைகளுக்கு தேர்தல்,Tamil
ಇನ್‌ಸ್ಟಾಗ್ರಾಮ್‌ನಲ್ಲಿ ಅಪಹಾಸ್ಯ ವೀಡಿಯೊ ಹಾಕಿ ಜೈಲು ಸೇರಿದ ಯುವಕ,Kannada
"            గదిలో సూదిపడితే వినిపించేటంత నిశ్శబ్దం వ్యాపించింది. మాస్టారు ఏదో అనబోయి ఏమీ అనలేక ""సర్...",Telgu
அரசியல்,Tamil
'ಭಾಗಿ 2' ಸಿನಿಮಾದಲ್ಲಿ ಎವರ್ ಗ್ರೀನ್ 'ಏಕ್ ದೋ ತೀನ್' ಹಾಡು: ವೈರಲ್ ಆಗುತ್ತಿದೆ ಜಾಕ್ಲೀನ್​ ಡಾನ್ಸ್​,Kannada
"    ""సార్! సరిగ్గా నాకూ అదే అనిపించింది!"" అన్నాడు కాశీ ఎగ్జయిటెడ్ గా. అని తనకి కూడా డాక్టరు - మంద...",Telgu
பஸ் ஸ்டிரைக்: மெட்ரோ ரயிலில் குவிந்த சென்னை மக்கள்,Tamil
ಐಪಿಎಲ್​ ಸನ್​ರೈಸರ್ಸ್​​ ಹೈದರಾಬಾದ್​  ಡೆಲ್ಲಿ ಡೇರ್ ಡೆವಿಲ್ಸ್​​ ರೋಚಕ ಪಂದ್ಯದಲ್ಲಿ ಹೈದರಾಬಾದ್​ಗೆ  ವಿಕೆಟ್​ಗಳ ಭರ್ಜರಿ ಜಯ,Kannada
"    లలితాంబ ఓ సారి కళ్ళజోడుని సవరించుకొని మేనల్లుడికేసి చూసింది.     ""మాట్లాడవే!"" అడిగింది చిన్న ...",Telgu
தமிழ்நாடு,Tamil
ಜಗತ್ತಿಗೆ ಬರುತ್ತಿದ್ದಾನೆ ಮತ್ತೊಬ್ಬ ಹೊಸ ದೇವರು.. ನಿಂತಲ್ಲೇ ಸಿಗುತ್ತೆ ವರ..!,Kannada
నచికేత ఒక్క అడుగు వెనక్కివేసి అలానే నిలబడి పోయేడు. రాబర్ట్ పెదవులు మంత్రాలను ఉచ్చరిస్తున్నాయి. కళ్ళ...,Telgu
ஜெயலலிதா நினைவிடத்தில் அஞ்சலி செலுத்தியவர் மாரடைப்பால் மரணம்,Tamil
ಇಂದು ನಟಿ ಶ್ರುತಿ ಹರಿಹರನ್​ ವಿರುದ್ಧದ ಮಾನನಷ್ಟ ಮೊಕದ್ದಮೆ ವಿಚಾರಣೆ..!,Kannada
         తర్వాత ఇంకో కాగితం తీసుకొని వరలక్ష్మి పెట్టే ఖర్చు వివరాలు వ్రాసుకొచ్చాడు ఓపికగా.      ...,Telgu
தமிழ்நாடு,Tamil
ಬಾಲಿವುಡ್ ಹಿರಿಯ ನಟಿ ‘ಶಮ್ಮಿ ಆಂಟಿ’ ಇನ್ನಿಲ್ಲ,Kannada
"    ""సర్.""         ఆయన తలతిప్పి చూశాడు.     పక్కనే ఎస్. ఐ. స్వరూప్ వినయంగా నిలబడి ఉన్నాడు.   ...",Telgu
சிபிஐ சோதனை நிறைவு சிதம்பரம் வீடுகளில் சிக்கியது என்ன?,Tamil
ಈ ವಾರ ತೆರೆ ಕಾಣಲಿರುವ ಸಿನಿಮಾಗಳ ವಿವರ,Kannada
మమ్మీ తాలుకు శాపం' అనేసి నిజమేనో లేక అదంతా కాకతాళీయంగా జరిగిందో తెలియదుగానీ మొత్తంమీద 'మమ్మీని సమీ...,Telgu
தமிழ்நாடு,Tamil
ಕ್ರೀಡಾಲೋಕದಲ್ಲಿ ಮಿಂಚುತ್ತಿರುವ ಈ ಹಾಟ್ ಆ್ಯಂಕರ್​ ಕನ್ನಡಿಗನ ಹೆಂಡತಿ..!,Kannada
     అయి ఉండవచ్చు.     అదే సమయంలో తేజస్వి కూడా సౌమ్య వైపు చూశాడు. కొద్ది సెకెండ్ల సేపు నిశ్చలంగా ఆమ...,Telgu
உளவு பார்க்கும் பொம்மை,Tamil
ನನ್​ ಎಕ್ಕಡ: ಹುಚ್ಚವೆಂಕಟ್​ಗೆ ಕಡೆಗೂ ಸಿಕ್ಕ ಅವರ ಎಕ್ಕಡ,Kannada
"    ""ప్రేమ దెబ్బలోపడి ఫార్ములాలు మరిచి పోయేనుసార్!""     ""ఆల్ రైట్! నీకు సులోచనతో పెళ్ళి జరగాలి అంత...",Telgu
உலகம்,Tamil
ಸ್ಟೈಲಿಸ್ಟ್​ ರಣವೀರ್ ಮತ್ತು ಫಂಕಿ ಸನ್ ಗ್ಲಾಸ್,Kannada
    అర్దమైంది అప్పుడే__         అరిచింది ఓ అందమైన అమ్మాయి అని చప్పుడు ఆమె విసిరినా ప్లేటుమూలంగా బ...,Telgu
ஆராசாவின் ஜி புத்தகம் ஜனவரி ல் வெளியீடு,Tamil
'ಲಕ್ಸ್​'  ಸೋಪ್​ಗೆ ಮಾಡೆಲ್​ ಆಗುವ ಅವಕಾಶ ಸಿಕ್ಕಿದ್ದು ಈ ನಟಿಮಣಿಯರಿಗೆ ಮಾತ್ರ!,Kannada
"    ""ద్రోహి మళ్ళీ వచ్చినట్లున్నాడు"" అన్నాడు భర్త చలించే కంఠంతో. విజయ గబగబ ఆవహిస్తున్న రోషంతో ""రానివ్...",Telgu
அரசியல்,Tamil
ಏರ್​ಟೆಲ್​ ದೀಪಾವಳಿ ಧಮಾಕಾ ದಿನಗಳವರೆಗೆ ಅನಿಯಮಿತ ಕರೆ ಮತ್ತು ಉಚಿತ ಡೇಟಾ ಪಡೆಯಿರಿ..!,Kannada
"    ""అంత అందమయిన అమ్మాయిని నా చేతులతో ఎలా చంపాలా అని బాధపడ్డాను. యిప్పుడు బ్లడ్ క్యాన్సరే ఆమెను చం...",Telgu
நடந்தது விபத்தா? படுகொலையா?: சயானிடம் விசாரணை தீவிரம்,Tamil
ಸ್ಯಾಮ್​ಸಂಗ್ ಕಂಪೆನಿ ಕಾರ್ಮಿಕರಿಗೆ ಕ್ಯಾನ್ಸರ್..! ರೋಗ ಪೀಡಿತರಿಗೆ ಲಕ್ಷ ರೂ. ಪರಿಹಾರ,Kannada
"    ""ఊ ....ఫర్వాలేదు చెప్పు.""         ""వ్యక్తిత్వాన్ని ఆత్మాభిమానాన్ని చంపుకుని ఉద్యోగం చేయాల్సి...",Telgu
தமிழ்நாடு,Tamil
ಐಪಿಎಲ್  ಕೋಲ್ಕತ್ತಾ  ಚೆನ್ನೈ: ಸಿಎಸ್​ಕೆ ವಿರುದ್ಧ ‘ಕೆಕೆಆರ್’ಗೆ ​ ವಿಕೆಟ್​ಗಳ ಜಯ,Kannada
"                                ""సుందరి అనే అమ్మాయితో ఈ గొడవ ప్రారంభంఅయింది. సుందరి అప్పారావుకి బా...",Telgu
உலகக் கோப்பை கால்பந்து: பெருவை வீழ்த்தி டென்மார்க் அசத்தல்,Tamil
ಮತ್ತೆ ನಗುವಿನ ಕಚಗುಳಿ ಇಡಲಿರುವ ಕಪಿಲ್​ ಶರ್ಮಾ,Kannada
"       అప్పుడు వాళ్ళిద్దరూ ఓ తండ్రి కూతుళ్ళలాగో మేనమామ మేనకోడలు లాగో వున్నారు.          ""ఓ.కె ఫ్ర...",Telgu
விளையாட்டு,Tamil
ಯಶ್​ ಆಫರ್​ ನೀಡಿದರೆ ಈ ಬಾಲಿವುಡ್​ ನಟಿ ಕನ್ನಡ ಚಿತ್ರರಂಗಕ್ಕೆ ಕಾಲಿಡ್ತಾರಂತೆ!,Kannada
    అప్పుడే చెరబండ రాజుగారు 'మాలోని మనిషివే మా మనిషివే నీవు. పొట్టకోసం నీవు పోలీసువైనావు' అంటూ గట్ట...,Telgu
போலீஸ் வேலை: ஹால் டிக்கெட்கள் ரெடி,Tamil
ದೀಪಿಕಾ-ರಣವೀರ್​ ವಿವಾಹಕ್ಕೆ ಸಿಂಗಾರಗೊಂಡಿರುವ ವಿಲ್ಲಾದ ಚಿತ್ರಗಳು..!,Kannada
"    ""కరెక్ట్"" అని అరిచింది తులసి. అబ్రకదబ్ర శారద కూడా విస్మయంగా చూసేరు.     ""ఆ ముగ్గురూ..... ఎవరు...",Telgu
தமிழ்நாடு,Tamil
ಕಿಚ್ಚೋತ್ಸವಕ್ಕೆ ಭರ್ಜರಿ ಗಿಫ್ಟ್ ಮೂಲಕ ಕಿಚ್ಚು ಹಚ್ಚಿದ​ ಕಿಚ್ಚ ಸುದೀಪ್,Kannada
    అతడు సాలోచనగా మిగతా పేజీలు తిప్పసాగాడు.     ఒక పేరాగ్రాపుమీద అతడి దృష్టి పడింది. కళ్ళు పెద్దవయ...,Telgu
காவிரிக்காக தமிழ் திரைப்படங்களின் வெளியீடும் ஒத்திவைக்கப்படுமா? உதயநிதி ஸ்டாலின்,Tamil
ಇಂಜಿನಿಯರಿಂಗ್ ವಿದ್ಯಾರ್ಥಿಗಳಿಗಾಗಿ ಇನ್ಫೋಸಿಸ್​ ಬಿಡುಗಡೆಗೊಳಿಸುತ್ತಿದೆ ಕಲಿಕಾ ಆ್ಯಪ್,Kannada
"    ""ఎవరో తెల్సుకోవాలంటే మీరో పని చెయ్యాలి... ఈ వూళ్ళో ఎన్ని వైన్ షాపులున్నాయి...?""          ""రె...",Telgu
சினிமா,Tamil
ವಿಧಾನಸಭಾ ಚುನಾವಣಾ ಕಣದಲ್ಲಿ ಹೇಗಿದೆ ತಾರಾ ಮೆರುಗು..? ವರ್ಕೌಟ್ ಆಗುತ್ತಾ ಬಣ್ಣ ಮಂದಿಯ ಥಳಕು-ಬಳಕು,Kannada
                               చోర్ దర్శిన్     బాబ్రీ మసీదు సంఘటన గురించి భారతప్రజలకూ భారత దూరద...,Telgu
'ஒத்தைக்கு ஒத்த வாடா'' வெளியானது விஸ்வாசம் டிரைலர்!,Tamil
ಶ್ರೀದೇವಿ ಸಾವಿಗೆ ಹೊಸ ಟ್ವಿಸ್ಟ್​: ಮೃತ ದೇಹದ ಮೇಲೆ ಗಾಯದ ಗುರುತುಗಳು,Kannada
    శ్రీలక్ష్మి సుందరమ్మకేసి చూస్తూ వుండిపోయింది.     'సుందరమ్మా! నిజం చెప్పు. నీకెంతమంది బిడ్డలు?...,Telgu
சினிமா,Tamil
ಆನ್​ಲೈನ್​ ಸೋರಿಕೆ ಆಯ್ತು ಸಲ್ಮಾನ್ ನಟನೆಯ ‘ಭಾರತ್’ ಚಿತ್ರದ ಕ್ಲೈಮ್ಯಾಕ್ಸ್!,Kannada
"     ""అదేమిటి?"" అన్నాడు తెల్లబోయి.          ఆమె జవాబు చెప్పకుండా మెదలకుండా ఊరుకుంది.    ""వెళ్ళక ఏం...",Telgu
தருமபுரியில் கடுமையான பனிப் பொழிவு : வாகன ஓட்டிகள் அவதி,Tamil
"ಆಸ್ಟ್ರೇಲಿಯಾಕ್ಕೆ 32 ರನ್​ಗಳ ಜಯ""",Kannada
    వాకబు మీద తెలిసిన దేమిటంటే ఇంకా పార్కుకు వెళ్ళడం మానేసి వాళ్ళు ఇళ్ళలో కలుసుకుంటారుట.        రాయ...,Telgu
தமிழ்நாடு,Tamil
ಥೈಲ್ಯಾಂಡ್​ನಲ್ಲಿ ಬಿಕಿನಿ ತೊಟ್ಟು ಹಾಟ್​ ಆಗಿ ಕಾಣಿಸಿಕೊಂಡ ಸಂಯುಕ್ತಾ ಹೆಗಡೆ!,Kannada
"    ""అక్కడికే వెళ్ళాడు. ఆడిస్తానని పిల్లనుకూడా తీసుకువెళ్ళాడు.""     ""వాడు తోటకు నీళ్ళు పోస్తూ దాన్...",Telgu
மன்னார்குடியில் அமோகமாக மது விற்பனை: கண்டுகொள்ளாத காவல்துறை,Tamil
ಇದೇ ಮೊದಲ ಬಾರಿ ಐಪಿಎಲ್ ಪ್ರಶಸ್ತಿ ಗೆದ್ದು ಬೀಗಲಿದೆ ಆರ್​ಸಿಬಿ; ಹೇಗೆ ಗೊತ್ತಾ?,Kannada
హాల్లోంచి వాళ్లు వెళ్లిపోగానే గోవిందం గబగబా స్టోరు గది వైపు నడిచేడు. ఆ గదికి తాళం వేసి వుంది జేబు లో...,Telgu
தமிழ்நாடு,Tamil
ಯಶ್ ಎರಡು ದಿನ ಮಗು-ರಾಧಿಕಾರಿಂದ ದೂರವಿದ್ದಿದ್ದೇಕೆ..?,Kannada
    నాయనమ్మ తీర్థ తిరువధ్యయనాలు నాయన - మా పెళ్లిళ్లకన్నా అట్టహాసంగా చేశారు. నాయనమ్మకు తమ్ముడు - అమ...,Telgu
‘பயங்கரவாதிகளின் தந்தை திலகர்’: ம் வகுப்பு பாடப் புத்தகத்தால் சர்ச்சை,Tamil
ನೀತಿ ಸಂಹಿತೆ ಉಲ್ಲಂಘನೆ: ಗುಣತಿಲಕಗೆ ಪಂದ್ಯ ನಿಷೇಧ ಹೇರಿದ ಶ್ರೀಲಂಕಾ ಕ್ರಿಕೆಟ್ ಮಂಡಳಿ,Kannada
    పాదాలవరకూ  రక్తం ధారగా  కారుతుంటే  చైతన్య గాయం చాలా బలంగా  తగిలిందన్న  విషయాన్ని గ్రహించాడు.  ...,Telgu
இந்தியா,Tamil
ಚಂದನವನದ ರೆಬೆಲ್ ಸ್ಟಾರ್​ಗೆ  ಸಂಭ್ರಮ: ಅಂಬರೀಷ​ ಹುಟ್ಟುಹಬ್ಬ ಆಚರಿಸಿದ ಅಭಿಮಾನಿಗಳು,Kannada
"    ""ఒరేయ్! నీలాంటి కొడుకుని కనడం నా మొదటి తప్పయితే వాడికి బృహస్పతి అని పేరు పెట్టడం నా రెండో తప్...",Telgu
நியாயவிலைக் கடை ஊழியர்கள் இன்று முதல் வேலைநிறுத்தம்,Tamil
ಫಿಫಾ ವಿಶ್ವಕಪ್  ಪಂದ್ಯದ ಗೆಲುವನ್ನು  ಜನ ಬಾಲಕರಿಗೆ ಅರ್ಪಿಸಿದ ಪೌಲ್ ಪೋಗ್ಬಾ,Kannada
"    ""మళ్ళీ...""     ""రేపు.""     ఆమె చేతిని ప్రేమగా నిమిరి వదలి వెళ్ళాడు. కారు కదిలి ముందుకెళ్ళిపో...",Telgu
தமிழ்நாடு,Tamil
ಬಯಸಿದ್ದು ಯಾವುದು ನನ್ನ ಪಾಲಿಗೆ ಸಿಕ್ಕಿಲ್ಲ ನಟಿ ರಮ್ಯಾ ಮನದ ಮಾತು,Kannada
"    ""మనిషి సాంఘిక బహిష్కరణలాంటి స్థితి గురించి నీకు తెలుసుగా ఆర్తీ! వీధిలో జనం మాట్లాడరు. ఏ సహాయాన...",Telgu
 எம்எல்ஏக்கள் தகுதி நீக்க வழக்கு  காலை  மணிக்கு தீர்ப்பு !,Tamil
ಕೋಲ್ಕತ್ತಾ ನೈಟ್ ರೈಡರ್ಸ್​​ ಮುಂಬೈ ಇಂಡಿಯನ್ಸ್​ ಮುಂಬೈ ಬೌಲರ್ಸ್​ಗಳ ದಾಳಿಗೆ ಕೆಕೆಆರ್​​ ತತ್ತರ: ಕೋಲ್ಕತ್ತಾ ಆಲೌಟ್​,Kannada
    'భోజనాలకు లేవండి' ఎవరో పిలుస్తున్నారు.        అక్కడ భోజనం చేయడం ఇష్టం లేకపోయినా నీహారికను చూడా...,Telgu
தமிழ்நாடு,Tamil
ಬೆಂಗಳೂರಿನ ಅವ್ಯವಸ್ಥೆ ಬಗ್ಗೆ ಹಾಡು ಬರೆಯುವ ಆಲೋಚನೆಯಲ್ಲಿ ಯೋಗರಾಜ್​ ಭಟ್​..!,Kannada
"    ""పద్నాలుగు మంది""         ""రైట్ మెజిషియన్ ఆఫ్ ఐరన్ అనే టైటిల్ గల వ్యక్తి ఎవరు?""         రాజేంద్...",Telgu
ஆசிரியருக்கு மசாஜ் செய்யும் மாணவன்; வைரலாகும் வீடியோ ,Tamil
ಮಹಿಳಾ ಸ್ಪರ್ಧಿಗಳಿಗಾಗಿ ಇರಲಿದೆ ಒಂದು ಸರ್ಪ್ರೈಸ್​..!,Kannada
    నేనెందుకు సాగరంలో కలవాలీ? అని నది యెన్నడూ అడగదు! శ్రుతిని అనుసరిస్తేనే నా జన్మకి పరమార్ధతా అని...,Telgu
தமிழ்நாடு,Tamil
ನ್ಯೂಸ್ ರೀಲ್ ಮೂವಿ ಅವಾರ್ಡ್ಸ್ ಸಮಾರಂಭದಲ್ಲಿ ತಾರೆಯರ ಸಮಾಗಮ,Kannada
    అతని వ్యక్తిత్వం మీద క్యారక్టరు ఇంటిగ్రిటీమీద తనకు వ్యక్తిగతంగా ఉన్నతాభిప్రాయం వున్నా దర్యా...,Telgu
சித்தாள் வேலை பார்க்கிறார் யோகாவில் தங்கம் வென்ற வீராங்கனை,Tamil
ಹುಡುಗಿಯರ ಜೊತೆ ಸಖತ್​ ಫ್ಲರ್ಟ್ ಮಾಡ್ತಾರೆ ವಿಜಯ್ ದೇವರಕೊಂಡ!; ಬಯಲಾಯ್ತು ಅಚ್ಚರಿಯ ವಿಚಾರ,Kannada
    అతను స్నానం చేసి గదిలోకి వచ్చాడు. అద్దం ముందు నుంచొని మళ్ళీ ఈలపాట మొదలు పెట్టి అద్దంలో తన అందా...,Telgu
இந்தியா,Tamil
ಸೆಲೆಬ್ರಿಟಿಗಳಿಂದ ಕೇರಳಕ್ಕೆ ಹರಿದು ಬರುತ್ತಿದೆ ನೆರವಿನ ತೊರೆ,Kannada
"        ""అయినా నేను తొందరపాటు ప్రదర్శించకుండా ఓపిక పట్టాను. వ్యక్తిగతమైన కక్షని ప్రదర్శించబోయిన కమి...",Telgu
கருணாநிதி நலம் குறித்து விசாரிக்க நடிகர் விஜய் காவேரி மருத்துவமனை வருகை,Tamil
ಏಕದಿನ ಕ್ರಿಕೆಟ್​​ನಲ್ಲಿ ಕೊಹ್ಲಿ 4ನೇ ಕ್ರಮಾಂಕದಲ್ಲಿ ಬ್ಯಾಟಿಂಗ್ ಮಾಡಲಿ: 'ಸೌರವ್ ಗಂಗೂಲಿ' ಸಲಹೆ,Kannada
    ఆ ఫైల్లో వున్నయువకుడు ఆమెకి ఖచ్చితంగా నచ్చుతాడని అతనికి బాగా నమ్మకం వుంది.     నాగమ్మ ఫైల్ ఓపె...,Telgu
